Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00868310,RETURN,SHIPPED,203499,Refunded,9/10/2019 2:13 am,299.2,ch_1EqtopJbAfK4zMcbEzxi0CNV,,SUCCESS
AG-US-00854884,RETURN,SHIPPED,203494,Refunded,9/10/2019 2:13 am,256.06,ch_1Ed8FDJbAfK4zMcbivsHjweR,,SUCCESS
AG-US-00860542,RETURN,SHIPPED,203497,Refunded,9/10/2019 2:13 am,120.36,,3U365283LW8197100,FAILED
AG-US-00840720,RETURN,SHIPPED,203495,Refunded,9/10/2019 2:13 am,118,ch_1EQrKhJbAfK4zMcbibiWP9LX,,SUCCESS
AG-US-00856965,RETURN,SHIPPED,203501,Refunded,9/10/2019 2:13 am,118,,74P59636EB870171N,FAILED
AG-US-00858194,RETURN,SHIPPED,203502,Refunded,9/10/2019 2:13 am,118,,8K871942BD224361J,FAILED
AG-US-00846017,RETURN,SHIPPED,203496,Refunded,9/10/2019 2:13 am,108.83,,7518118307912522J,FAILED
AG-US-00853040,RETURN,SHIPPED,203493,Refunded,9/10/2019 2:13 am,98,ch_1Ebl13JbAfK4zMcbk6mUOUmV,,SUCCESS
AG-US-00775621,RETURN,SHIPPED,203498,Refunded,9/10/2019 2:13 am,86.4,ch_1Dh0GjJbAfK4zMcbzYzit7VO,,SUCCESS
AG-US-00858955,RETURN,SHIPPED,203559,Refunded,9/10/2019 3:53 pm,327.23,ch_1EgvDTJbAfK4zMcbzuvPqj2B,,SUCCESS
AG-US-00863632,RETURN,SHIPPED,203560,Refunded,9/10/2019 3:53 pm,179.58,ch_1ElHzFJbAfK4zMcbtgcH3Nq3,,SUCCESS
AG-US-00856236,RETURN,SHIPPED,203556,Refunded,9/10/2019 3:53 pm,140.16,,1DY682222K7527408,FAILED
AG-US-00868556,RETURN,SHIPPED,203565,Refunded,9/10/2019 3:53 pm,128,ch_1Erc0EJbAfK4zMcb7SslnI1w,,SUCCESS
AG-US-00857853,RETURN,SHIPPED,203558,Refunded,9/10/2019 3:53 pm,118,,9WR0155982804924S,FAILED
AG-US-00860463,RETURN,SHIPPED,203580,Refunded,9/10/2019 3:55 pm,118,ch_1Ei7hAJbAfK4zMcbepx6YRcr,,SUCCESS
AG-US-00864487,RETURN,SHIPPED,203561,Refunded,9/10/2019 3:53 pm,115.6,ch_1Em7mwJbAfK4zMcbjYTJGmQn,,SUCCESS
AG-US-00857564,RETURN,SHIPPED,203557,Refunded,9/10/2019 3:53 pm,91.8,ch_1EfWkWJbAfK4zMcbtxgkaIpo,,SUCCESS
AG-US-00868422,RETURN,SHIPPED,203564,Refunded,9/10/2019 3:53 pm,79.38,,7UL69412EK914390C,FAILED
AG-US-00866568,RETURN,SHIPPED,203562,Refunded,9/10/2019 3:53 pm,78,,4W178351V5749532F,FAILED
AG-US-00867361,RETURN,SHIPPED,203563,Refunded,9/10/2019 3:53 pm,68,ch_1EpJLlJbAfK4zMcbcXRiYldB,,SUCCESS
