Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00844424,RETURN,SHIPPED,202139,Refunded,8/8/19 9:14,380.8,,56622900EE256932N,SUCCESS
AG-US-00866608,RETURN,SHIPPED,202149,Refunded,8/8/19 9:15,272,,3JE555580X2980204,SUCCESS
AG-US-00829824,RETURN,SHIPPED,202071,Refunded,8/8/19 2:13,236,,3DJ60959EK069554K,SUCCESS
AG-US-00781272,RETURN,SHIPPED,202136,Refunded,8/8/19 9:14,235.98,ch_1DiQ3JJbAfK4zMcbmh3Zi4RC,,SUCCESS
AG-US-00862774,RETURN,SHIPPED,202145,Refunded,8/8/19 9:14,234,ch_1EkLTYJbAfK4zMcbb9aWbWxj,,SUCCESS
AG-US-00856439,RETURN,SHIPPED,202158,Refunded,8/8/19 9:15,129.51,,6AH872150V7484725,SUCCESS
AG-US-00852622,RETURN,SHIPPED,202073,Refunded,8/8/19 2:13,128.92,ch_1EbKd5JbAfK4zMcbQrYOsjiE,,SUCCESS
AG-US-00859219,RETURN,SHIPPED,202078,Refunded,8/8/19 2:13,128.47,,0HL148318U5932631,SUCCESS
AG-US-00854914,RETURN,SHIPPED,202103,Refunded,8/8/19 2:15,128.47,,9UG26662H4340232R,SUCCESS
AG-US-00827497,RETURN,SHIPPED,202138,Refunded,8/8/19 9:14,128.03,ch_1EFkdPJbAfK4zMcbdlKpuou7,,SUCCESS
AG-US-00859213,RETURN,SHIPPED,202128,Refunded,8/8/19 2:17,122.72,,9FE52142SD758462B,SUCCESS
AG-US-00858246,RETURN,SHIPPED,202077,Refunded,8/8/19 2:13,118,ch_1Eg7aCJbAfK4zMcbkkNRxdT5,,SUCCESS
AG-US-00845526,RETURN,SHIPPED,202082,Refunded,8/8/19 2:13,118,ch_1EUgQxJbAfK4zMcbbGy74Iel,,SUCCESS
AG-US-00853841,RETURN,SHIPPED,202101,Refunded,8/8/19 2:15,118,ch_1EcHLJJbAfK4zMcbOuaP31Xg,,SUCCESS
AG-US-00854170,RETURN,SHIPPED,202102,Refunded,8/8/19 2:15,118,ch_1EcYgpJbAfK4zMcbcAfm2utW,,SUCCESS
AG-US-00855808,RETURN,SHIPPED,202141,Refunded,8/8/19 9:14,118,ch_1EdqgwJbAfK4zMcbMz7pUtfE,,SUCCESS
AG-US-00811490,RETURN,SHIPPED,202069,Refunded,8/8/19 2:13,117.99,,8HC3814005869993V,SUCCESS
AG-US-00811490,RETURN,SHIPPED,202100,Refunded,8/8/19 2:15,117.99,,8HC3814005869993V,SUCCESS
AG-US-00857467,RETURN,SHIPPED,202143,Refunded,8/8/19 9:14,117.72,,46V9748240252212T,SUCCESS
AG-US-00865453,RETURN,SHIPPED,202148,Refunded,8/8/19 9:14,115.83,ch_1EmvJiJbAfK4zMcb4gV5bOsR,,SUCCESS
AG-US-00868239,RETURN,SHIPPED,202089,Refunded,8/8/19 2:14,110.4,ch_1Er5IRJbAfK4zMcbkRn0oIY3,,SUCCESS
AG-US-00860026,RETURN,SHIPPED,202174,Refunded,8/8/19 9:16,109.83,ch_1EhfSZJbAfK4zMcbSggQ5R6a,,SUCCESS
AG-US-00857870,RETURN,SHIPPED,202076,Refunded,8/8/19 2:13,109.08,ch_1EfmUvJbAfK4zMcbAUTcFdY2,,SUCCESS
AG-US-00773534,RETURN,SHIPPED,202065,Refunded,8/8/19 2:12,108,ch_1DgcjoJbAfK4zMcbsvAQNsz1,,SUCCESS
AG-US-00786485,RETURN,SHIPPED,202067,Refunded,8/8/19 2:13,108,ch_1DlF20JbAfK4zMcb344ypIJ4,,SUCCESS
AG-US-00828473,RETURN,SHIPPED,202070,Refunded,8/8/19 2:13,108,ch_1EGf85JbAfK4zMcbgCjJl0J1,,SUCCESS
AG-US-00827805,RETURN,SHIPPED,202093,Refunded,8/8/19 2:14,108,,30K164307M594845K,SUCCESS
AG-US-00817747,RETURN,SHIPPED,202094,Refunded,8/8/19 2:14,108,ch_1E9wzQJbAfK4zMcbKrKexB6c,,SUCCESS
AG-US-00817930,RETURN,SHIPPED,202137,Refunded,8/8/19 9:14,108,ch_1E9z8sJbAfK4zMcbPwRhItht,,SUCCESS
AG-US-00856595,RETURN,SHIPPED,202074,Refunded,8/8/19 2:13,100.3,ch_1EeXYSJbAfK4zMcb0yHwX4El,,SUCCESS
AG-US-00839558,RETURN,SHIPPED,202081,Refunded,8/8/19 2:13,100.3,,4GY3193188527432L,SUCCESS
AG-US-00859955,RETURN,SHIPPED,202104,Refunded,8/8/19 2:15,100.3,ch_1EhbCqJbAfK4zMcbuDfwlzZt,,SUCCESS
AG-US-00857953,RETURN,SHIPPED,202144,Refunded,8/8/19 9:14,100.3,ch_1EfrhWJbAfK4zMcb43MIU6iK,,SUCCESS
AG-US-00859429,RETURN,SHIPPED,202079,Refunded,8/8/19 2:13,100.29,ch_1Eh60SJbAfK4zMcbS1rCFaiz,,SUCCESS
AG-US-00801343,RETURN,SHIPPED,202092,Refunded,8/8/19 2:14,100.06,ch_1DwtpUJbAfK4zMcb9L7Bcc6r,,SUCCESS
AG-US-00863422,RETURN,SHIPPED,202084,Refunded,8/8/19 2:14,98,ch_1EkzbtJbAfK4zMcbl7XKnuOw,,SUCCESS
AG-US-00804531,RETURN,SHIPPED,202068,Refunded,8/8/19 2:13,95.81,ch_1DyiJJJbAfK4zMcbsT4WI9Bq,,SUCCESS
AG-US-00778286,RETURN,SHIPPED,202066,Refunded,8/8/19 2:12,91.8,ch_1DhfTfJbAfK4zMcbd3lsLL0p,,SUCCESS
AG-US-00866945,RETURN,SHIPPED,202150,Refunded,8/8/19 9:15,91.8,,9FT10786RN5592528,SUCCESS
AG-US-00868072,RETURN,SHIPPED,202088,Refunded,8/8/19 2:14,88,ch_1Eqj9TJbAfK4zMcbJtfM88Q5,,SUCCESS
AG-US-00855952,RETURN,SHIPPED,202142,Refunded,8/8/19 9:14,84.97,,2X7511456D509041M,SUCCESS
AG-US-00861824,RETURN,SHIPPED,202083,Refunded,8/8/19 2:13,82.09,ch_1EjUHwJbAfK4zMcbyu2wPKrX,,SUCCESS
AG-US-00851458,RETURN,SHIPPED,202072,Refunded,8/8/19 2:13,81.72,ch_1EaTnQJbAfK4zMcbUccU2szL,,SUCCESS
AG-US-00864653,RETURN,SHIPPED,202147,Refunded,8/8/19 9:14,78,ch_1EmLJKJbAfK4zMcbSjsSiFSh,,SUCCESS
AG-US-00867625,RETURN,SHIPPED,202087,Refunded,8/8/19 2:14,74.8,ch_1EpnCmJbAfK4zMcbQl7dAzgr,,SUCCESS
AG-US-00857209,RETURN,SHIPPED,202075,Refunded,8/8/19 2:13,68,,8KT87762BD8083916,SUCCESS
AG-US-00864801,RETURN,SHIPPED,202146,Refunded,8/8/19 9:14,68,ch_1EmLJIJbAfK4zMcbZqBabxXz,,SUCCESS
