Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00862178,RETURN,SHIPPED,202438,Refunded,8/21/19 2:13,180.05,ch_1EjpFDJbAfK4zMcbrR4s7Hvo,,SUCCESS
AG-US-00843640,RETURN,SHIPPED,202435,Refunded,8/21/19 2:13,138,ch_1ETZ0NJbAfK4zMcbOKtkPWWI,,SUCCESS
AG-US-00868308,RETURN,SHIPPED,202441,Refunded,8/21/19 2:13,138,ch_1EqtDcJbAfK4zMcb09Khs0TK,,SUCCESS
AG-US-00853309,RETURN,SHIPPED,202436,Refunded,8/21/19 2:13,128.62,ch_1Ebsa0JbAfK4zMcb9iiwgofs,,SUCCESS
AG-US-00824690,RETURN,SHIPPED,202434,Refunded,8/21/19 2:13,118,,9UL14614HT658911P,SUCCESS
AG-US-00815435,RETURN,SHIPPED,202443,Refunded,8/21/19 2:14,117.18,,4XH80123LP163933B,SUCCESS
AG-US-00840181,RETURN,SHIPPED,202437,Refunded,8/21/19 2:13,109.83,,40094041W17278844,SUCCESS
AG-US-00864723,RETURN,SHIPPED,202439,Refunded,8/21/19 2:13,106.33,ch_1EmDeWJbAfK4zMcbZuQ4OttV,,SUCCESS
AG-US-00866873,RETURN,SHIPPED,202440,Refunded,8/21/19 2:13,95.26,,88X00374LJ104125C,SUCCESS
AG-US-00868414,RETURN,SHIPPED,202442,Refunded,8/21/19 2:13,68,ch_1ErT5RJbAfK4zMcbnNFucC8w,,SUCCESS
AG-US-00790460,RETURN,SHIPPED,202472,Pending Receipt,8/21/19 13:49,91.8,,6CN0291509068543P,SUCCESS
